timestamp,dlt_file,detector_1_total_counts,detector_1_neutron_counts,detector_2_total_counts,detector_2_neutron_counts,detector_3_total_counts,detector_3_neutron_counts,detector_4_total_counts,detector_4_neutron_counts,detector_5_total_counts,detector_5_neutron_counts,detector_6_total_counts,detector_6_neutron_counts,detector_7_total_counts,detector_7_neutron_counts,detector_8_total_counts,detector_8_neutron_counts,detector_9_total_counts,detector_9_neutron_counts,detector_10_total_counts,detector_10_neutron_counts,detector_11_total_counts,detector_11_neutron_counts,detector_12_total_counts,detector_12_neutron_counts,detector_13_total_counts,detector_13_neutron_counts,detector_14_total_counts,detector_14_neutron_counts,detector_15_total_counts,detector_15_neutron_counts,detector_16_total_counts,detector_16_neutron_counts,observations,detector_1_histogram_name,detector_2_histogram_name,detector_3_histogram_name,detector_4_histogram_name,detector_5_histogram_name,detector_6_histogram_name,detector_7_histogram_name,detector_8_histogram_name,detector_9_histogram_name,detector_10_histogram_name,detector_11_histogram_name,detector_12_histogram_name,detector_13_histogram_name,detector_14_histogram_name,detector_15_histogram_name,detector_16_histogram_name
2024-11-10 23:47:50,,1734.0,1667.0,1776.0,1686.0,712.0,660.0,719.0,641.0,154.0,106.0,1220.0,1161.0,1086.0,1025.0,979.0,922.0,134.0,63.0,1559.0,1411.0,1203.0,1119.0,245.0,183.0,258.0,180.0,935.0,835.0,894.0,841.0,659.0,607.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 01:52:17,,5327.0,5134.0,5442.0,5151.0,2244.0,2061.0,2123.0,1862.0,571.0,397.0,3709.0,3510.0,3272.0,3107.0,2992.0,2802.0,406.0,190.0,4752.0,4322.0,3620.0,3330.0,788.0,590.0,748.0,508.0,2847.0,2544.0,2685.0,2496.0,1940.0,1789.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 02:24:59,,6236.0,6011.0,6415.0,6075.0,2658.0,2436.0,2500.0,2185.0,690.0,466.0,4382.0,4138.0,3812.0,3629.0,3493.0,3258.0,471.0,222.0,5657.0,5158.0,4255.0,3905.0,958.0,731.0,888.0,605.0,3346.0,2995.0,3165.0,2939.0,2270.0,2098.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 03:11:22,,7513.0,7222.0,7831.0,7381.0,3214.0,2937.0,3002.0,2626.0,856.0,591.0,5319.0,5034.0,4662.0,4444.0,4269.0,3987.0,573.0,264.0,6880.0,6264.0,5251.0,4815.0,1182.0,896.0,1096.0,720.0,4055.0,3618.0,3850.0,3558.0,2747.0,2529.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 03:34:36,,8170.0,7850.0,8951.0,8041.0,3559.0,3249.0,3258.0,2850.0,935.0,646.0,5781.0,5469.0,5065.0,4825.0,4660.0,4347.0,614.0,281.0,7470.0,6791.0,5697.0,5227.0,1286.0,984.0,1195.0,780.0,4423.0,3945.0,4153.0,3830.0,2991.0,2753.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 04:00:15,,8900.0,8538.0,11095.0,8759.0,3913.0,3567.0,3529.0,3081.0,1006.0,696.0,6279.0,5936.0,5502.0,5246.0,5096.0,4746.0,663.0,302.0,8136.0,7404.0,6199.0,5690.0,1403.0,1070.0,1282.0,828.0,4812.0,4286.0,4486.0,4126.0,3252.0,2999.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 04:38:46,,9968.0,9557.0,12735.0,9841.0,4365.0,3986.0,3963.0,3472.0,1148.0,785.0,7031.0,6635.0,6125.0,5846.0,5736.0,5353.0,739.0,331.0,9123.0,8306.0,6913.0,6344.0,1559.0,1188.0,1460.0,935.0,5372.0,4791.0,5004.0,4602.0,3606.0,3320.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 05:01:57,,10642.0,10193.0,14150.0,10487.0,4643.0,4237.0,4241.0,3725.0,1230.0,842.0,7485.0,7057.0,6533.0,6234.0,6119.0,5712.0,781.0,351.0,9704.0,8843.0,7371.0,6762.0,1661.0,1265.0,1564.0,994.0,5707.0,5093.0,5347.0,4922.0,3848.0,3547.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 05:30:13,,11557.0,10992.0,16391.0,11320.0,4969.0,4533.0,4558.0,3989.0,1342.0,915.0,8084.0,7631.0,7015.0,6694.0,6591.0,6162.0,839.0,375.0,10436.0,9514.0,7947.0,7289.0,1796.0,1367.0,1684.0,1076.0,6120.0,5459.0,5702.0,5251.0,4142.0,3817.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-11 06:03:34,,12762.0,11891.0,19872.0,12203.0,5402.0,4919.0,4923.0,4312.0,1442.0,977.0,8755.0,8260.0,7619.0,7272.0,7147.0,6686.0,913.0,404.0,11304.0,10310.0,8623.0,7899.0,1952.0,1484.0,1812.0,1159.0,6616.0,5898.0,6112.0,5630.0,4479.0,4128.0,Sin observaciones,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
