timestamp,dlt_file,detector_1_total_counts,detector_1_neutron_counts,detector_2_total_counts,detector_2_neutron_counts,detector_3_total_counts,detector_3_neutron_counts,detector_4_total_counts,detector_4_neutron_counts,detector_5_total_counts,detector_5_neutron_counts,detector_6_total_counts,detector_6_neutron_counts,detector_7_total_counts,detector_7_neutron_counts,detector_8_total_counts,detector_8_neutron_counts,detector_9_total_counts,detector_9_neutron_counts,detector_10_total_counts,detector_10_neutron_counts,detector_11_total_counts,detector_11_neutron_counts,detector_12_total_counts,detector_12_neutron_counts,detector_13_total_counts,detector_13_neutron_counts,detector_14_total_counts,detector_14_neutron_counts,detector_15_total_counts,detector_15_neutron_counts,detector_16_total_counts,detector_16_neutron_counts,observations,detector_1_histogram_name,detector_2_histogram_name,detector_3_histogram_name,detector_4_histogram_name,detector_5_histogram_name,detector_6_histogram_name,detector_7_histogram_name,detector_8_histogram_name,detector_9_histogram_name,detector_10_histogram_name,detector_11_histogram_name,detector_12_histogram_name,detector_13_histogram_name,detector_14_histogram_name,detector_15_histogram_name,detector_16_histogram_name
2024-11-04 17:52:44,,147.0,110.0,112.0,94.0,51.0,37.0,59.0,35.0,27.0,14.0,77.0,65.0,55.0,49.0,48.0,42.0,31.0,11.0,104.0,82.0,72.0,52.0,18.0,5.0,29.0,13.0,61.0,50.0,55.0,39.0,32.0,23.0,UCN Antofa2 001,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 18:23:39,,443.0,341.0,365.0,316.0,168.0,126.0,170.0,112.0,78.0,36.0,231.0,192.0,190.0,161.0,172.0,144.0,71.0,22.0,346.0,270.0,254.0,194.0,74.0,26.0,89.0,40.0,187.0,151.0,166.0,124.0,105.0,80.0,UCN Antofa2 002,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 19:25:14,,1012.0,797.0,858.0,739.0,395.0,306.0,413.0,278.0,206.0,106.0,566.0,471.0,476.0,394.0,439.0,354.0,180.0,59.0,851.0,650.0,644.0,498.0,195.0,87.0,204.0,95.0,452.0,358.0,400.0,302.0,294.0,219.0,UCN Antofa2 003,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 19:40:24,,1138.0,897.0,982.0,851.0,449.0,341.0,475.0,322.0,237.0,117.0,647.0,542.0,559.0,462.0,504.0,408.0,201.0,66.0,962.0,742.0,752.0,584.0,212.0,95.0,248.0,117.0,510.0,402.0,453.0,342.0,343.0,248.0,UCN Antofa2 004,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 20:11:37,,1406.0,1114.0,1240.0,1067.0,583.0,445.0,608.0,412.0,310.0,148.0,834.0,688.0,673.0,566.0,665.0,532.0,254.0,82.0,1192.0,917.0,973.0,767.0,259.0,114.0,310.0,144.0,655.0,513.0,588.0,444.0,413.0,297.0,UCN Antofa2 005,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 20:47:27,,1735.0,1375.0,1517.0,1296.0,714.0,543.0,759.0,510.0,380.0,187.0,1023.0,848.0,836.0,706.0,837.0,662.0,320.0,99.0,1513.0,1163.0,1179.0,927.0,320.0,142.0,421.0,194.0,805.0,623.0,741.0,543.0,494.0,354.0,UCN Antofa2 006,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 21:18:09,,2027.0,1612.0,1764.0,1508.0,825.0,625.0,889.0,589.0,453.0,222.0,1192.0,990.0,965.0,825.0,978.0,772.0,362.0,109.0,1779.0,1363.0,1352.0,1064.0,361.0,157.0,505.0,234.0,941.0,724.0,868.0,632.0,585.0,420.0,UCN Antofa2 007,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 21:52:35,,2343.0,1864.0,2071.0,1760.0,958.0,727.0,1017.0,674.0,521.0,256.0,1367.0,1131.0,1106.0,948.0,1142.0,910.0,433.0,131.0,2075.0,1594.0,1554.0,1227.0,423.0,192.0,580.0,263.0,1085.0,829.0,1023.0,746.0,697.0,512.0,UCN Antofa2 008,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 22:32:26,,2700.0,2154.0,2402.0,2040.0,1124.0,852.0,1172.0,771.0,588.0,285.0,1568.0,1299.0,1275.0,1093.0,1318.0,1051.0,503.0,154.0,2418.0,1843.0,1796.0,1409.0,501.0,228.0,669.0,301.0,1268.0,962.0,1188.0,867.0,811.0,589.0,UCN Antofa2 009,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
2024-11-04 23:11:37,,3062.0,2448.0,2755.0,2322.0,1301.0,988.0,1315.0,867.0,640.0,304.0,1768.0,1453.0,1445.0,1234.0,1496.0,1197.0,566.0,167.0,2737.0,2084.0,2009.0,1576.0,578.0,266.0,766.0,334.0,1428.0,1066.0,1333.0,985.0,898.0,653.0,UCN Antofa2 010,Ch01_Cal,Ch02_Cal,Ch03_Cal,Ch04_Cal,Ch05_Cal,Ch06_Cal,Ch07_Cal,Ch08_Cal,Ch09_Cal,Ch10_Cal,Ch11_Cal,Ch12_Cal,Ch13_Cal,Ch14_Cal,Ch15_Cal,Ch16_Cal
