Numero,Lugar,Fecha de Inicio,Fecha de Termino,Nombre Corto,Número de Detectores,DLT Path,ROOT Path,Latitud,Longitud,Corte de Rigidez Geomagnética,Altitud,B_N,B_E,B_D,Google Maps Link
Lab,CEFENEN,24/06/12,24/07/12,Test4det,4.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240612-test-4det,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240612-test-4det/rootonline,,,,,,,,
5ta,Antofagasta,24/08/01,24/08/05,UCN-Antofagasta,16.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240612_Test4det,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240612_Test4det/rootfiles,,,,,,,,
test,mi Casa,,,,3.0,/home/molina,/home/molina/rootfiles,,,,,,,,
1ra,Santiago,24/07/16,24/07/16,PruebaLinux,5.0,/home/lin/,/home/lin/,,,,,,,,
test,micasa,24/09/20,24/09/21,PruebaCasa,6.0,/home/molina/dltfiles,/home/molina/rootfiles,,,,,,,,
test,CASA,24/09/20,24/09/21,Casatest,6.0,/home/molina/dlt_files,/home/molina/root_files,,,,,,,,
Lab,"CEFNEN-CEN La Reina, Santiago Chile",24/09/13,24/09/30,Prueba_125MSPS_4det,4.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240913_test_125_18sep,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240913_test_125_18sep/rootfiles,,,,,,,,
5ta,San Pedro de Atacama,24/11/08,24/11/15,SanPedroAtacama,7.0,/home/lin/datadlt,/home/lin/dataroot,-22.910832,-68.200138,10.73,,,,,
5ta,Rancagua,24/10/24,24/10/30,Rancagua,3.0,/home,/home,-34.170249,-70.740743,6.98,350.0,35.980153491567,19050.4156020177,-1.00936323867255,
6ta,Rancagua,24/10/24,24/10/30,Rgua2,2.0,/home,/home,-34.170249,-70.740743,6.98,350.0,35.980153491567,19050.4156020177,-1.00936323867255,
8va,Rancagua,24/10/24,24/10/30,Rgua3,4.0,/,/,-34.170249,-70.740743,6.98,350.0,35.980153491567,19050.4156020177,-1.00936323867255,
4ta,"Pupelde, Chiloé",23/11/20,23/11/30,Pupelde,16.0,/home/lin/,/home/lin/,-41.887938,-73.799318,4.57,40.0,42.5061365712233,19302.6046840499,-8.5460332915259,"https://www.google.com/maps/search/?api=1&query=-41.887938,-73.799318"
test,CEFNEN-Lab,241004,241031,SIS3316_125_IntClock_62_16det_Calibration,16.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240930_test_calibracion_SIS3316_125,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240930_test_calibracion_SIS3316_125/rootfiles,,,,,,,,
Lab,CEFNEN-Lab,24/10/29,24/10/30,SIS3316_125_IntClk_125_4det_fondo,4.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240930_test_calibracion_SIS3316_125,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/240930_test_calibracion_SIS3316_125/rootfiles,-33.4296658151476,-70.52525619872,,790.0,,,,
5ta,Antofagasta_UCN,24/11/04,24/11/08,UCN_Antofa_2024,16.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/241103_5th_UCN,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/241103_5th_UCN/rootfiles,-23.0,-70.0,10.49,19.0,22.98183288792692,20826.29584514106,4.875619134479687,"https://www.google.com/maps/search/?api=1&query=-23.0,-70.0"
5ta,"Antofagasta, Universidad Católica del Norte",24/11/04,24/11/08,UCN_Antofa_2,16.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/241104_5th_UCN_Antofa_2,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/241104_5th_UCN_Antofa_2/rootfiles,-23.679168,-70.409686,10.49,35.0,22.982351444468687,20825.957626950152,4.876164283490715,"https://www.google.com/maps/search/?api=1&query=-23.679168,-70.409686"
5ta,San Pedro de Atacama,24/11/10,24/11/15,SanPedro_2024,16.0,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/241010_5th_SanPedrodeAtacama,/home/lin/data/EXPERIMENTS_RAW_DATA/2024/CRNS/241010_5th_SanPedrodeAtacama/rootfiles,-22.9,-68.25,10.74,2432.0,22.73890278307115,20677.528285174074,7.2093360039915035,"https://www.google.com/maps/search/?api=1&query=-22.9,-68.25"
